Males,Females
163.3,153.525
166.175,159.85
163.3,148.925
165.025,147.775
161,169.625
160.425,150.075
163.3,149.5
159.85,144.325
150.65,141.45
162.725,160.425
161,150.075
163.875,156.975
158.125,145.475
165.025,146.625
158.125,160.425
155.825,157.55
155.25,142.025
167.325,151.225
156.4,156.975
161.46,143.75
157.55,151.8
161,147.2
158.7,151.8
160.08,144.9
149.5,152.95
163.3,161
161.575,146.05
174.8,152.95
166.75,146.05
159.85,147.775
159.85,156.975
159.85,156.4
166.75,140.875
155.825,141.45
165.6,154.675
161.575,145.475
166.75,147.2
163.3,152.375
170.2,155.25
169.05,136.85
163.3,151.8
166.175,148.35
161,158.125
173.65,158.7
162.725,143.75
,146.625
,142.025
,143.75
,150.075
,161.575
,144.325
,156.4
,156.975
,151.8
,149.5
,150.65
,153.525
,147.2
,154.1
,139.725
,151.8
,158.7
,152.375
,158.125
,154.1
,147.2
